distance_miles,latitude,longitude,elevation_m
37.0,50.7096691998717,10.665897807396423,872.9145147503593
38.0,50.70641720814801,10.687790380950075,863.7819911045646
39.0,50.7004277423445,10.707371613377106,903.1516657770975
40.0,50.691012461995804,10.723249575242969,859.8067250524427
41.0,50.67849125949673,10.732610486617526,861.2166709029416
42.0,50.66462615542952,10.73372029609828,917.0343971919858
43.0,50.65485653587963,10.748208189084359,938.3417160493942
44.0,50.65519911887527,10.76866682245573,941.8179081533375
44.99999999999999,50.64284084584178,10.77384946334721,871.3908008203526
46.0,50.63192729213137,10.785444128937465,849.6
47.0,50.63023228090111,10.806057115699357,810.5302122099002
48.0,50.626208516260476,10.826005439022346,795.8803523044697
49.0,50.61519191484526,10.836981560030301,748.3108937459652
50.0,50.603765709764325,10.847351152827386,786.9000162306289
51.00000000000001,50.607270929884095,10.867616946332829,777.5868038941371
52.0,50.60993886053919,10.887013264052904,816.5314864812118
53.0,50.603307357144466,10.899695872251046,825.8122252922608
54.0,50.59255853570503,10.908311240703878,812.1744467322304
55.0,50.586120349022046,10.924954014852965,775.7180080884083
55.99999999999999,50.576402322846285,10.938204996344174,790.4880438699147
57.0,50.56387570431774,10.932061045403941,774.1434594737447
58.0,50.55075227444457,10.939490125533537,745.7200043777449
59.0,50.53669551451391,10.940723021376874,722.8771036402061
60.0,50.524949604871914,10.948134728241829,786.7671033522475
60.99999999999999,50.52092861206925,10.960489778937655,797.3235221606261
62.0,50.50923567737144,10.971318890133315,838.7545996191028
63.0,50.497175365165994,10.976857910037578,777.4461360789444
64.0,50.490140961790324,10.98649427449685,760.8756563532629
65.0,50.47802827619084,10.990972964318463,839.1458797226113
66.0,50.478773553077886,11.010919634386347,799.759367722807
67.0,50.47575832143261,11.030819237085574,821.9112350770066
68.0,50.47670284591218,11.051614938851728,796.9071977696182
69.0,50.47567245679221,11.073277545184292,758.4900897860815
70.0,50.48095002110563,11.091964081561818,827.4844530336134
71.0,50.49131621777226,11.102704056771978,844.9960446692706
72.0,50.500093144915695,11.114813031690645,827.2424603866951
73.0,50.50691796684369,11.130149154778408,827.4906076698948
74.0,50.50267519339334,11.1478609604408,820.8794180093864
75.0,50.49418319164969,11.159939719452197,789.4426710933678
76.0,50.49821616837391,11.177342700401125,790.2552649466887
77.0,50.49024639562553,11.192579194133064,809.6864777497046
78.0,50.493097996091635,11.210928167528088,826.2686149423607
79.0,50.4969193777281,11.232156709571038,765.117285330611
80.0,50.49535276922623,11.252552408853848,719.4445347713
81.0,50.48916863681204,11.270712580452477,698.0490888592519
82.0,50.48438642225724,11.290185929761405,720.2977900343972
83.0,50.47665354254766,11.305573228958966,713.356986744111
84.0,50.46779436768019,11.32264696199099,714.249441738395
84.99999999999999,50.460521690405564,11.341860183752264,683.484321519932
86.0,50.44972210088207,11.355880098631626,677.0101571863443
87.0,50.44115333942388,11.37321594132917,624.7354091584916
